Transaction Hash,Date,From,To,Amount In (ETH),Amount Out (ETH),Fee (ETH),Fee (USD),CurrentValue,General amount,General amount USD
0x6bff018e837bdb1b18348f65c351737d3bd4493b350187afd1646cc1fb4b16b1,2024-04-29 08:20:35,0xaccdb161128e38aeb60942675ac168f0ee05ca34,0x753233ab3efcb4c8dc7b163f37062548904272a1,0.0336333427506693,0,0,0,112.16181673864202,0.0336333427506693,112.16181673864202
0xc0b0b001f4348ab8fb2607d3081a27cd59c9161ab21704e3c41cdd454152ea10,2024-04-29 08:21:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000743778,2.48038062552,-0.0,-0.0,-2.48038062552
0xaff81431eec3ab35ead0cb72368e213e7f433bb5f39f0b6770ec4966e1440029,2024-05-06 13:27:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000743778,2.48038062552,-0.0,-0.0,-2.48038062552
0xd76b9abfa2193104e02fc132fbc02cdf63d86eeb90181ab50f6113da98bac2a3,2024-05-09 19:07:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000578494,1.9291849309600002,-0.0,-0.0,-1.9291849309600002
0x26f5d56333325e1c72556a0a50b704638420bd89970596c21772b39a782014e9,2024-05-20 13:59:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000702457,2.34258170188,-0.0,-0.0,-2.34258170188
0xf5cfb6273cf47acada1ea2e75b022dac7b7d0f8ea01dd356cadef5266f4fc841,2024-05-27 13:21:59,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.001156988,3.8583698619200004,-0.0,-0.0,-3.8583698619200004
0xf66ad60044a2e7b8f9a6dc352cfe9e128b4f039e8ad7d66b07037706eaa5d743,2024-06-10 07:19:47,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000578494,1.9291849309600002,-0.0,-0.0,-1.9291849309600002
0xc86c0ac75d511e10ddee234fec4c6967f566637e4784dbccb92be8272fcd7bd6,2024-06-12 18:50:23,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.001156988,3.8583698619200004,-0.0,-0.0,-3.8583698619200004
0x5469a4f18ce995302c6a5bd1a72d3c81a27d3d35c3683a5fa5260c347a1bdcbe,2024-06-15 15:19:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000934736,3.1171950022400003,-0.0,-0.0,-3.1171950022400003
0xb8362edeabd91193053c71185a831500a140fcbeaa1d7e36209e7e9246519602,2024-06-24 07:50:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000578494,1.9291849309600002,-0.0,-0.0,-1.9291849309600002
0x08fffc4e30ee3b028d6d0c8a7cb48f13e959a64fbb2798eb10c8b0306de42a95,2024-07-08 07:09:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000454531,1.51578816004,-0.0,-0.0,-1.51578816004
0xaef33cc5b540c70a6ab5d9768e4caa9d24b633cc63a185c28d9da685a1b40fbe,2024-07-15 07:29:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000578326,1.92862467784,-0.0,-0.0,-1.92862467784
0x26645f3e81ef281f859c722ff53e97382a73624bd1507f65d991fa419a8c30ba,2024-07-22 09:32:59,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000578494,1.9291849309600002,-0.0,-0.0,-1.9291849309600002
0x45b4ab859af7f7fdcb5cf7f4063da401c55da5c389e73f489b2ff6fc26e7d3c3,2024-08-05 07:46:47,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.002166115079358209,7.22364721124693,-0.0,-0.0,-7.22364721124693
0x0b3b552c9b03af43ab3e831a035225dc89851abab5c435e93a6fe30082f8cdfc,2024-09-09 07:19:47,0x753233ab3efcb4c8dc7b163f37062548904272a1,0x07e4e57a7db2d6c19e1b7c7b1005592b7c7d29cc,0,-0.02555705798292152,-0.00024014374272,0.8008409589723648,-85.228699243766,-0.02555705798292152,-86.02954020273836
